lon,lat,value
120.0,25.45,25.5
120.84,25.39,28.1
120.72,25.36,28.6
120.75,25.36,28.6
120.78,25.36,27.8
120.81,25.36,26.5
120.84,25.36,28.7
120.72,25.33,28.6
120.75,25.33,28.6
120.78,25.33,28.1
120.81,25.33,28.5
120.84,25.33,28.6
120.72,25.3,28.5
120.75,25.3,28.6
120.78,25.3,26.7
120.81,25.3,27.5
120.84,25.3,28.2
120.87,25.3,26.5
121.56,25.3,27.0
120.72,25.27,28.7
120.75,25.27,28.6
120.78,25.27,28.1
120.81,25.27,28.1
120.84,25.27,26.9
120.87,25.27,27.4
121.53,25.27,26.9
120.72,25.24,28.7
120.75,25.24,28.7
120.78,25.24,27.7
120.81,25.24,26.4
120.84,25.24,26.9
120.87,25.24,26.7
120.72,25.21,28.4
120.75,25.21,27.9
120.78,25.21,28.2
120.81,25.21,25.9
120.84,25.21,26.7
120.87,25.21,28.4
120.72,25.18,26.8
120.75,25.18,27.2
120.78,25.18,27.9
120.81,25.18,26.8
120.84,25.18,25.7
120.87,25.18,28.6
120.72,25.15,26.1
120.75,25.15,26.7
120.78,25.15,25.7
120.81,25.15,26.0
120.84,25.15,26.5
120.87,25.15,28.7
120.72,25.12,28.6
120.75,25.12,27.1
120.78,25.12,27.8
120.81,25.12,26.9
120.84,25.12,26.2
120.87,25.12,27.1
120.69,25.09,28.3
120.72,25.09,26.2
120.75,25.09,25.6
120.78,25.09,26.8
120.81,25.09,25.9
120.84,25.09,26.2
120.87,25.09,27.6
120.66,25.06,28.0
120.69,25.06,28.3
120.72,25.06,28.2
120.75,25.06,26.9
120.78,25.06,26.0
120.81,25.06,24.4
120.84,25.06,28.0
120.87,25.06,28.1
120.66,25.03,27.7
120.69,25.03,25.7
120.72,25.03,24.8
120.75,25.03,24.4
120.78,25.03,22.2
120.81,25.03,27.3
120.84,25.03,28.3
120.87,25.03,28.8
120.36,25.0,27.6
120.63,25.0,28.9
120.66,25.0,27.0
120.69,25.0,25.4
120.72,25.0,22.3
120.75,25.0,24.3
120.78,25.0,24.1
120.81,25.0,25.8
120.84,25.0,27.3
120.87,25.0,25.2
120.63,24.97,28.5
120.66,24.97,26.8
120.69,24.97,22.1
120.72,24.97,22.1
120.75,24.97,19.3
120.78,24.97,24.4
120.81,24.97,26.4
120.84,24.97,27.8
120.87,24.97,28.6
120.9,24.97,28.8
120.57,24.94,27.5
120.6,24.94,27.8
120.63,24.94,27.9
120.66,24.94,26.9
120.69,24.94,26.5
120.72,24.94,24.8
120.75,24.94,18.0
120.78,24.94,23.9
120.81,24.94,25.9
120.84,24.94,27.0
120.87,24.94,26.7
120.9,24.94,28.7
120.51,24.91,25.3
120.54,24.91,25.2
120.57,24.91,26.8
120.6,24.91,27.2
120.63,24.91,27.2
120.66,24.91,25.3
120.69,24.91,21.7
120.72,24.91,25.3
120.75,24.91,24.0
120.78,24.91,19.4
120.81,24.91,21.9
120.84,24.91,22.5
120.87,24.91,24.0
120.9,24.91,26.0
120.51,24.88,26.0
120.54,24.88,26.1
120.57,24.88,26.4
120.6,24.88,26.7
120.63,24.88,26.5
120.66,24.88,22.4
120.69,24.88,26.3
120.72,24.88,25.1
120.75,24.88,19.6
120.78,24.88,19.2
120.81,24.88,24.5
120.84,24.88,26.5
120.87,24.88,27.6
120.9,24.88,28.3
120.93,24.88,28.5
120.45,24.85,25.3
120.48,24.85,25.8
120.51,24.85,25.8
120.54,24.85,25.9
120.57,24.85,26.1
120.6,24.85,26.5
120.63,24.85,26.4
120.66,24.85,23.6
120.69,24.85,19.8
120.72,24.85,22.9
120.75,24.85,18.2
120.78,24.85,19.6
120.81,24.85,18.3
120.84,24.85,23.0
120.87,24.85,25.2
120.9,24.85,27.3
120.93,24.85,25.1
120.36,24.82,25.5
120.39,24.82,25.7
120.42,24.82,25.8
120.45,24.82,25.8
120.48,24.82,25.8
120.51,24.82,25.8
120.54,24.82,25.9
120.57,24.82,25.9
120.6,24.82,26.3
120.63,24.82,26.3
120.66,24.82,24.8
120.69,24.82,25.0
120.72,24.82,23.2
120.75,24.82,12.8
120.78,24.82,18.2
120.81,24.82,20.7
120.84,24.82,24.7
120.87,24.82,26.8
120.9,24.82,27.1
120.93,24.82,28.0
120.36,24.79,25.5
120.39,24.79,24.4
120.42,24.79,25.7
120.45,24.79,26.3
120.48,24.79,25.8
120.51,24.79,25.8
120.54,24.79,25.6
120.57,24.79,26.0
